DATE,A255RC1Q027SBEA
2017-07-01,2338.417
2017-10-01,2460.606
2018-01-01,2531.742
2018-04-01,2538.316
2018-07-01,2583.856
2018-10-01,2582.285
2019-01-01,2546.38
2019-04-01,2559.722
2019-07-01,2517.606
2019-10-01,2443.034
2020-01-01,2382.476
2020-04-01,1936.781
2020-07-01,2362.853
2020-10-01,2535.779
2021-01-01,2692.602
2021-04-01,2806.619
2021-07-01,2850.495
2021-10-01,3029.003
2022-01-01,3289.282
2022-04-01,3394.765
2022-07-01,3269.729
2022-10-01,3154.957
2023-01-01,3150.25
2023-04-01,3050.53
