DATE,B656RC1Q027SBEA
2019-04-01,605.548
2019-07-01,600.556
2019-10-01,599.888
2020-01-01,552.907
2020-04-01,406.942
2020-07-01,436.117
2020-10-01,490.604
2021-01-01,485.137
2021-04-01,530.866
2021-07-01,591.981
2021-10-01,618.742
2022-01-01,638.626
2022-04-01,679.644
2022-07-01,686.066
2022-10-01,690.443
2023-01-01,698.299
2023-04-01,688.748
