DATE,FNDEFX
2019-04-01,566.767
2019-07-01,570.795
2019-10-01,575.281
2020-01-01,586.619
2020-04-01,689.39
2020-07-01,645.443
2020-10-01,630.994
2021-01-01,719.609
2021-04-01,703.742
2021-07-01,688.767
2021-10-01,708.415
2022-01-01,714.407
2022-04-01,704.395
2022-07-01,721.798
2022-10-01,746.382
2023-01-01,772.894
2023-04-01,776.455
