"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/1999","0.6045","0.6045","0.6045","0.6045","","0.02%"
"10/01/1999","0.6044","0.6042","0.6044","0.6042","","-0.46%"
"09/30/1999","0.6072","0.6073","0.6072","0.6073","","-0.20%"
"09/29/1999","0.6084","0.6084","0.6084","0.6084","","0.33%"
"09/28/1999","0.6064","0.6061","0.6064","0.6061","","-0.23%"
"09/27/1999","0.6078","0.6080","0.6078","0.6080","","-0.16%"
"09/24/1999","0.6088","0.6090","0.6088","0.6090","","-0.03%"
"09/23/1999","0.6090","0.6101","0.6090","0.6101","","-0.52%"
"09/22/1999","0.6122","0.6105","0.6122","0.6105","","-0.13%"
"09/21/1999","0.6130","0.6132","0.6130","0.6132","","-0.60%"
"09/20/1999","0.6167","0.6168","0.6167","0.6168","","0.10%"
"09/17/1999","0.6161","0.6161","0.6161","0.6161","","0.02%"
"09/16/1999","0.6160","0.6159","0.6160","0.6159","","-0.65%"
"09/15/1999","0.6200","0.6202","0.6200","0.6202","","-0.35%"
"09/14/1999","0.6222","0.6224","0.6222","0.6224","","0.06%"
"09/13/1999","0.6218","0.6214","0.6218","0.6214","","0.78%"
"09/10/1999","0.6170","0.6160","0.6170","0.6160","","0.70%"
"09/09/1999","0.6127","0.6136","0.6127","0.6136","","-0.78%"
"09/08/1999","0.6175","0.6174","0.6175","0.6174","","-0.90%"
"09/07/1999","0.6231","0.6225","0.6231","0.6225","","0.03%"
"09/06/1999","0.6229","0.6235","0.6229","0.6235","","-0.13%"
"09/03/1999","0.6237","0.6233","0.6237","0.6233","","0.37%"
"09/02/1999","0.6214","0.6207","0.6214","0.6207","","-0.34%"
"09/01/1999","0.6235","0.6234","0.6235","0.6234","","0.11%"
"08/31/1999","0.6228","0.6218","0.6228","0.6218","","-1.13%"
"08/27/1999","0.6299","0.6298","0.6299","0.6298","","-0.08%"
"08/26/1999","0.6304","0.6304","0.6304","0.6304","","0.02%"
"08/25/1999","0.6303","0.6295","0.6303","0.6295","","0.59%"
"08/24/1999","0.6266","0.6260","0.6266","0.6260","","0.63%"
"08/23/1999","0.6227","0.6206","0.6227","0.6206","","0.60%"
"08/20/1999","0.6190","0.6184","0.6190","0.6184","","0.13%"
"08/19/1999","0.6182","0.6179","0.6182","0.6179","","-0.91%"
