"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2010","2.1104","2.0927","2.1208","2.0859","15.87K","1.39%"
"03/04/2010","2.0814","2.1038","2.1052","2.0731","18.88K","-1.06%"
"03/03/2010","2.1037","2.0692","2.1072","2.0636","19.89K","1.80%"
"03/02/2010","2.0666","2.0394","2.0957","2.0272","16.49K","1.56%"
"03/01/2010","2.0348","2.0522","2.0788","2.0178","12.58K","-0.02%"
"02/26/2010","2.0353","2.0030","2.0485","1.9909","49.89K","1.84%"
"02/25/2010","1.9986","2.0630","2.0634","1.9764","57.16K","-2.69%"
"02/24/2010","2.0539","2.0485","2.0650","2.0266","48.35K","0.55%"
"02/23/2010","2.0426","2.0880","2.0897","2.0305","44.57K","-2.18%"
"02/22/2010","2.0882","2.0898","2.1000","2.0766","34.45K","0.42%"
"02/19/2010","2.0794","2.0464","2.0871","2.0279","33.92K","0.83%"
"02/18/2010","2.0622","2.0121","2.0673","1.9895","31.12K","2.25%"
"02/17/2010","2.0168","2.0097","2.0220","1.9969","19.18K","0.54%"
"02/16/2010","2.0059","1.9288","2.0165","1.9175","20.79K","4.58%"
"02/15/2010","1.9180","1.9260","1.9290","1.9085","","-0.56%"
"02/12/2010","1.9288","1.9712","1.9712","1.9093","25.18K","-2.15%"
"02/11/2010","1.9712","1.9570","1.9836","1.9312","22.95K","0.87%"
"02/10/2010","1.9542","1.9334","1.9672","1.9154","20.08K","0.50%"
"02/09/2010","1.9444","1.8835","1.9545","1.8835","18.88K","2.69%"
"02/08/2010","1.8934","1.9002","1.9093","1.8728","16.98K","0.56%"
"02/05/2010","1.8828","1.9365","1.9500","1.8350","25.95K","-3.08%"
"02/04/2010","1.9426","2.0295","2.0301","1.9250","19.06K","-4.17%"
"02/03/2010","2.0271","2.0330","2.0620","2.0156","21.47K","-0.53%"
"02/02/2010","2.0379","1.9657","2.0430","1.9616","14.88K","3.95%"
"02/01/2010","1.9605","1.9189","1.9748","1.9176","11.33K","2.48%"
"01/29/2010","1.9130","1.9323","1.9522","1.9005","45.02K","-0.83%"
"01/28/2010","1.9290","1.9275","1.9476","1.9105","49.03K","0.12%"
"01/27/2010","1.9267","1.9615","1.9750","1.9047","58.94K","-1.78%"
"01/26/2010","1.9616","1.9753","1.9754","1.9424","45.83K","-0.68%"
"01/25/2010","1.9750","1.9455","1.9790","1.9455","37.73K","1.13%"
"01/22/2010","1.9530","1.9925","2.0065","1.9433","48.75K","-2.23%"
"01/21/2010","1.9975","2.0353","2.0465","1.9895","49.10K","-1.81%"
"01/20/2010","2.0344","2.0580","2.0585","2.0129","32.02K","-1.19%"
"01/19/2010","2.0590","2.0579","2.0665","2.0112","39.03K","0.71%"
"01/18/2010","2.0445","2.0445","2.0550","2.0310","","-0.65%"
"01/15/2010","2.0579","2.0812","2.0838","2.0492","27.41K","-1.63%"
"01/14/2010","2.0921","2.1076","2.1180","2.0760","27.60K","-0.61%"
"01/13/2010","2.1049","2.1165","2.1294","2.0733","34.96K","-1.72%"
"01/12/2010","2.1417","2.1801","2.1834","2.1181","23.60K","-2.18%"
"01/11/2010","2.1895","2.2150","2.2320","2.1763","24.31K","-0.79%"
"01/08/2010","2.2069","2.1951","2.2145","2.1690","22.18K","0.56%"
"01/07/2010","2.1946","2.2147","2.2168","2.1895","18.62K","-0.85%"
"01/06/2010","2.2135","2.1924","2.2172","2.1726","21.71K","0.58%"
"01/05/2010","2.2007","2.1953","2.2091","2.1773","24.06K","0.37%"
"01/04/2010","2.1926","2.1379","2.1990","2.1374","24.39K","3.35%"
"01/01/2010","2.1215","2.1215","2.1215","2.1215","","0.28%"
"12/31/2009","2.1156","2.1227","2.1410","2.1135","27.66K","-0.22%"
"12/30/2009","2.1202","2.1212","2.1364","2.1135","40.15K","0.17%"
"12/29/2009","2.1166","2.0970","2.1364","2.0931","41.04K","1.12%"
"12/28/2009","2.0931","2.0656","2.1022","2.0580","26.33K","2.75%"
"12/25/2009","2.0370","2.0370","2.0370","2.0370","","-0.93%"
"12/24/2009","2.0562","2.0342","2.0610","2.0188","19.83K","1.15%"
"12/23/2009","2.0329","1.9702","2.0593","1.9702","42.71K","3.19%"
"12/22/2009","1.9700","1.9614","1.9880","1.9355","34.75K","0.28%"
"12/21/2009","1.9645","1.9711","2.0073","1.9535","29.34K","-0.55%"
"12/18/2009","1.9753","1.9700","2.0092","1.9635","36.76K","-0.05%"
"12/17/2009","1.9763","2.0000","2.0000","1.9469","29.43K","-0.55%"
"12/16/2009","1.9873","1.9396","1.9946","1.9367","25.24K","3.14%"
"12/15/2009","1.9268","1.9302","1.9550","1.9243","19.87K","-0.20%"
"12/14/2009","1.9307","1.9309","1.9474","1.9250","15.04K","-0.02%"
"12/11/2009","1.9310","1.9305","1.9442","1.9126","21.15K","0.09%"
"12/10/2009","1.9292","1.9398","1.9512","1.9135","19.51K","-0.38%"
"12/09/2009","1.9365","2.0197","2.0327","1.9335","27.94K","-4.01%"
"12/08/2009","2.0173","2.0475","2.0543","2.0089","28.61K","-1.15%"
"12/07/2009","2.0408","2.0706","2.0780","2.0298","17.38K","-0.90%"
"12/04/2009","2.0593","2.0650","2.1197","2.0477","15.38K","-1.07%"
"12/03/2009","2.0815","2.0718","2.0946","2.0531","14.02K","0.67%"
"12/02/2009","2.0677","2.1070","2.1107","2.0571","15.29K","-1.89%"
"12/01/2009","2.1075","2.0796","2.1262","2.0768","13.68K","2.91%"
"11/30/2009","2.0479","2.0111","2.0736","1.9917","55.05K","1.91%"
"11/27/2009","2.0096","2.0349","2.0349","1.9103","30.98K","0.68%"
"11/26/2009","1.9960","1.9855","2.0300","1.9625","","-1.95%"
"11/25/2009","2.0357","1.9892","2.0457","1.9837","52.43K","2.32%"
"11/24/2009","1.9895","2.0155","2.0282","1.9743","56.38K","-1.39%"
"11/23/2009","2.0176","2.0158","2.0805","2.0077","45.35K","0.23%"
"11/20/2009","2.0130","2.0389","2.0447","1.9966","41.90K","-1.02%"
"11/19/2009","2.0337","2.0888","2.0919","2.0216","39.06K","-2.47%"
"11/18/2009","2.0852","2.0950","2.1265","2.0704","31.24K","-0.43%"
"11/17/2009","2.0943","2.0700","2.1053","2.0568","19.88K","1.17%"
"11/16/2009","2.0700","1.9950","2.0840","1.9950","22.04K","3.34%"
"11/13/2009","2.0030","2.0268","2.0410","1.9879","18.99K","-1.17%"
"11/12/2009","2.0268","2.0942","2.0942","2.0154","29.14K","-3.04%"
"11/11/2009","2.0903","2.0830","2.1130","2.0718","17.11K","0.17%"
"11/10/2009","2.0867","2.0911","2.1258","2.0645","23.72K","-0.66%"
"11/09/2009","2.1005","2.0488","2.1147","2.0488","19.73K","2.81%"
"11/06/2009","2.0431","2.0989","2.1123","2.0170","24.58K","-2.54%"
"11/05/2009","2.0963","2.1124","2.1270","2.0889","18.96K","-1.40%"
"11/04/2009","2.1260","2.0945","2.1345","2.0930","16.73K","0.89%"
"11/03/2009","2.1072","2.0857","2.1124","2.0356","13.45K","1.39%"
"11/02/2009","2.0783","2.0435","2.0852","2.0335","12.59K","3.65%"
"10/30/2009","2.0052","2.0827","2.0882","1.9975","49.75K","-3.54%"
"10/29/2009","2.0787","2.0175","2.0975","2.0140","45.82K","2.84%"
"10/28/2009","2.0212","2.0746","2.0815","2.0153","45.82K","-2.79%"
"10/27/2009","2.0792","2.0651","2.0920","2.0457","48.20K","0.78%"
"10/26/2009","2.0631","2.0965","2.1412","2.0497","49.82K","-1.97%"
"10/23/2009","2.1046","2.1244","2.1349","2.0830","40.83K","-0.93%"
"10/22/2009","2.1243","2.1274","2.1389","2.0934","36.70K","-0.48%"
"10/21/2009","2.1346","2.0700","2.1578","2.0505","42.53K","2.77%"
"10/20/2009","2.0770","2.0855","2.0909","2.0584","33.04K","-0.35%"
"10/19/2009","2.0843","2.0865","2.0865","2.0536","22.90K","1.05%"
"10/16/2009","2.0627","2.0471","2.0676","2.0289","31.64K","0.72%"
"10/15/2009","2.0479","1.9802","2.0542","1.9704","28.31K","3.75%"
"10/14/2009","1.9739","1.9801","1.9820","1.9520","26.36K","1.17%"
"10/13/2009","1.9510","1.9152","1.9559","1.9140","25.93K","1.62%"
"10/12/2009","1.9199","1.8921","1.9388","1.8918","21.62K","2.15%"
"10/09/2009","1.8794","1.8628","1.8970","1.8542","21.24K","0.21%"
"10/08/2009","1.8754","1.8195","1.8869","1.8000","22.73K","3.60%"
"10/07/2009","1.8103","1.8585","1.8675","1.7956","20.66K","-1.80%"
"10/06/2009","1.8434","1.8157","1.8703","1.8150","16.25K","1.17%"
"10/05/2009","1.8221","1.8161","1.8379","1.7677","20.66K","-0.20%"
"10/02/2009","1.8258","1.8401","1.8420","1.7909","17.83K","-1.63%"
"10/01/2009","1.8560","1.8509","1.8780","1.8224","14.51K","1.29%"
"09/30/2009","1.8324","1.7196","1.8355","1.7110","59.81K","6.13%"
"09/29/2009","1.7266","1.7201","1.7342","1.7038","35.05K","0.40%"
"09/28/2009","1.7197","1.7260","1.7453","1.6959","29.44K","0.77%"
"09/25/2009","1.7065","1.7108","1.7350","1.6866","36.01K","-0.25%"
"09/24/2009","1.7108","1.7786","1.7871","1.7025","37.09K","-4.45%"
"09/23/2009","1.7904","1.8410","1.8515","1.7759","36.37K","-2.89%"
"09/22/2009","1.8436","1.7889","1.8507","1.7876","26.64K","3.27%"
"09/21/2009","1.7852","1.8585","1.8585","1.7744","22.49K","-3.95%"
"09/18/2009","1.8586","1.8670","1.8792","1.8489","11.47K","-0.72%"
"09/17/2009","1.8720","1.8524","1.8878","1.8478","14.61K","0.77%"
"09/16/2009","1.8577","1.7988","1.8595","1.7889","18.47K","2.42%"
"09/15/2009","1.8138","1.7750","1.8225","1.7637","18.43K","2.01%"
"09/14/2009","1.7780","1.7673","1.7809","1.7457","13.94K","0.48%"
"09/11/2009","1.7695","1.8270","1.8463","1.7562","18.18K","-3.13%"
"09/10/2009","1.8266","1.8350","1.8463","1.8040","19.35K","-0.23%"
"09/09/2009","1.8308","1.8140","1.8608","1.8105","14.61K","0.68%"
