"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","2.7168","2.6820","2.7321","2.6512","28.84K","1.65%"
"12/18/2023","2.6728","2.6298","2.7329","2.6036","38.98K","1.98%"
"12/15/2023","2.6208","2.5974","2.6563","2.5819","56.27K","1.14%"
"12/14/2023","2.5913","2.5568","2.6115","2.5559","42.48K","1.70%"
"12/13/2023","2.5481","2.5186","2.5665","2.4838","47.47K","1.62%"
"12/12/2023","2.5074","2.6069","2.6281","2.5000","54.72K","-3.88%"
"12/11/2023","2.6087","2.5800","2.6224","2.5618","52.88K","1.07%"
"12/08/2023","2.5810","2.5668","2.6181","2.5553","52.41K","1.25%"
"12/07/2023","2.5492","2.5810","2.6200","2.5468","53.62K","-1.05%"
"12/06/2023","2.5762","2.6303","2.6543","2.5611","50.26K","-2.46%"
"12/05/2023","2.6411","2.6668","2.7070","2.6279","49.71K","-0.70%"
"12/04/2023","2.6597","2.6684","2.7053","2.6337","49.08K","-0.07%"
"12/01/2023","2.6615","2.7430","2.7617","2.6597","62.37K","-5.97%"
"11/30/2023","2.8305","2.8780","2.9273","2.7961","4.89K","-2.01%"
"11/29/2023","2.8885","2.8823","2.9127","2.8117","25.17K","-0.64%"
"11/28/2023","2.9070","2.8399","2.9230","2.8300","20.53K","2.43%"
"11/27/2023","2.8379","2.8230","2.8778","2.7973","27.02K","0.08%"
"11/24/2023","2.8357","2.8781","2.9059","2.8183","16.20K","-1.09%"
"11/23/2023","2.8670","2.8708","2.9023","2.8445","","-0.76%"
"11/22/2023","2.8891","2.9326","2.9360","2.8129","33.07K","-1.22%"
"11/21/2023","2.9249","2.8502","2.9389","2.8223","38.46K","2.65%"
"11/20/2023","2.8495","2.7641","2.8622","2.7469","27.45K","5.00%"
"11/17/2023","2.7139","2.6703","2.7430","2.6460","65.05K","1.56%"
"11/16/2023","2.6722","2.7901","2.8023","2.6599","52.90K","-4.26%"
"11/15/2023","2.7911","2.7745","2.8029","2.7450","60.31K","-1.62%"
"11/14/2023","2.8371","2.8428","2.8840","2.8089","51.12K","-0.08%"
"11/13/2023","2.8393","2.7401","2.8448","2.7134","50.38K","3.51%"
"11/10/2023","2.7431","2.7178","2.7900","2.6980","49.87K","0.88%"
